Participant_ID;Iteration;DateAndTime;SleepSeconds;SleepDuration;FadeSeconds;StayOnSeconds;AlarmDuration;SAM_pleasure_pre;SAM_arousal_pre;SAM_dominance_pre;SAM_pleasure_post;SAM_arousal_post;SAM_dominance_post;RSME;orderingMis;orderingTime;matchingMis;matchingTime;countingMis;countingTime;o1;o2;o3;o4;o5;o6;o7;o8;o9;o10;m1;m2;m3;m4;m5;m6;m7;m8;m9;m10;c1;c2;c3
ctu09;0;19.07.2019 15:23;900;15;-1;5;05.3831475;4;2;2;4;1;2;0.17;0;21118;0;16058;0;20777;4649;1787;4831;1544;3565;955;1255;1244;644;644;2142;1665;1411;1566;2244;1666;1510;1277;1333;1244;6439;6441;7897
sho18;1;24.07.2019 16:56;900;15;-1;5;06.1449917;3;3;3;2;2;2;0.13;45;21341;0;31084;0;28751;4271;2654;3620;1820;1489;1535;2629;902;1732;689;7918;4820;3676;2932;2509;1845;1521;1877;1877;2109;9225;12286;7240
emu22;0;27.07.2019 17:29;900;15;-1;5;06.5131221;3;4;3;3;3;3;0.41;0;24618;7;32163;0;26387;5204;1343;4376;1767;3620;1599;2488;1845;1032;1344;2798;3375;3876;4408;2723;2133;2143;2888;5274;2545;8950;8153;9284
rhl01;0;27.07.2019 19:28;900;15;-1;5;04.0170193;4;3;5;4;2;2;0.33;0;22875;0;19235;0;46101;5448;1110;4821;1488;2620;834;1466;2977;899;1212;4209;1631;1789;1609;1710;1645;1633;1544;1785;1680;16591;18492;11018
kaa16;0;28.07.2019 18:17;900;15;-1;5;08.1859706;4;2;4;4;1;3;0.31;0;37600;0;15714;0;35125;23307;1410;4054;844;3521;843;711;1222;867;821;1987;1755;1288;1543;1700;1388;1733;1344;1455;1521;5562;11039;18524
swo16;0;28.07.2019 19:02;900;15;-1;5;05.5920975;4;4;3;4;2;2;0.3;0;21093;2;31896;1;31719;4636;3620;3800;1129;3025;944;822;1564;768;785;4653;2285;13341;2222;1798;1722;1577;1440;1314;1544;10429;6741;14549
cga09;0;29.07.2019 15:14;900;15;-1;5;10.6658038;4;3;3;4;2;3;0.27;1;30636;0;26686;1;34027;5669;4187;4988;1200;5618;1368;1453;3409;1422;1322;3431;2907;2356;2466;2388;2299;2476;3210;1966;3187;8705;12693;12629
kuu09;0;15.08.2019 17:17;900;15;-1;5;07.8494739;4;2;3;4;3;2;0.35;44;34902;9;25343;0;35137;2771;1910;3388;16870;789;1445;3741;1166;1821;1001;2942;3043;2998;2721;2033;2232;2277;1888;3165;2044;7894;9162;18081
ajo02;0;15.08.2019 17:53;900;15;-1;5;04.4295699;5;2;3;5;1;3;0.21;2;23395;0;22348;1;40835;4934;3512;1903;3240;4074;1377;1367;1389;864;735;5319;2242;1411;3266;1743;1666;1558;1796;1466;1881;8439;16283;16113
erv21;1;19.08.2019 13:36;900;15;-1;5;05.3562233;4;3;3;4;4;2;0.36;4;29703;0;19991;1;52653;6503;2521;1266;3509;6830;1900;2332;2010;1300;1532;2598;1799;2077;1832;1711;1877;1810;2021;2199;2067;8805;17160;26688
hmo19;0;19.08.2019 17:29;900;15;-1;5;08.5368848;4;3;2;4;2;2;0.17;17;19007;0;16669;0;15335;1626;590;6962;755;2977;1499;1177;1290;1141;990;1743;1999;1754;1966;1544;1833;1543;1266;1555;1466;5306;4887;5142
nar02;0;19.08.2019 18:13;900;15;-1;5;03.9070280;5;1;5;4;1;5;0.14;44;21585;0;20235;0;27107;4348;2288;3020;1989;2931;1544;2199;978;1288;1000;3709;1654;2554;1750;1471;1498;1634;1811;1877;2277;8937;9542;8628
